x,y,z
-1,0,0
5,0,0
2,-5.19615242270663,0
2,5.19615242270663,0
-4,-5.19615242270663,0
-4,5.19615242270663,0
-7,0,0
8,-5.19615242270663,0
8,5.19615242270663,0
-1,-10.3923048454133,0
-1,10.3923048454133,0
11,0,0
-10,-5.19615242270663,0
-10,5.19615242270663,0
5,-10.3923048454133,0
5,10.3923048454133,0
-7,-10.3923048454133,0
-7,10.3923048454133,0
-13,0,0
14,-5.19615242270663,0
14,5.19615242270663,0
11,-10.3923048454133,0
11,10.3923048454133,0
2,-15.5884572681199,0
2,15.5884572681199,0
-4,-15.5884572681199,0
-4,15.5884572681199,0
-13,-10.3923048454133,0
-13,10.3923048454133,0
-16,-5.19615242270663,0
-16,5.19615242270663,0
17,0,0
8,-15.5884572681199,0
8,15.5884572681199,0
-10,-15.5884572681199,0
-10,15.5884572681199,0
-19,0,0
17,-10.3923048454133,0
17,10.3923048454133,0
20,-5.19615242270663,0
20,5.19615242270663,0
-1,-20.7846096908265,0
-1,20.7846096908265,0
14,-15.5884572681199,0
14,15.5884572681199,0
5,-20.7846096908265,0
5,20.7846096908265,0
-19,-10.3923048454133,0
-19,10.3923048454133,0
-7,-20.7846096908265,0
-7,20.7846096908265,0
-16,-15.5884572681199,0
-16,15.5884572681199,0
-22,-5.19615242270663,0
-22,5.19615242270663,0
23,0,0
11,-20.7846096908265,0
11,20.7846096908265,0
-13,-20.7846096908265,0
-13,20.7846096908265,0
-25,0,0
