x,y,z
0,0,0
-2.5,-4.33012701892219,0
2.5,-4.33012701892219,0
5,0,0
2.5,4.33012701892219,0
-2.5,4.33012701892219,0
-5,0,0
0,-8.66025403784439,0
0,8.66025403784439,0
-7.5,-4.33012701892219,0
7.5,-4.33012701892219,0
7.5,4.33012701892219,0
-7.5,4.33012701892219,0
-5,-8.66025403784439,0
5,-8.66025403784439,0
10,0,0
5,8.66025403784439,0
-5,8.66025403784439,0
-10,0,0
-12.5,-4.33012701892219,0
-10,-8.66025403784439,0
-2.5,-12.9903810567666,0
2.5,-12.9903810567666,0
10,-8.66025403784439,0
12.5,-4.33012701892219,0
12.5,4.33012701892219,0
10,8.66025403784439,0
2.5,12.9903810567666,0
-2.5,12.9903810567666,0
-10,8.66025403784439,0
-12.5,4.33012701892219,0
-7.5,-12.9903810567666,0
7.5,-12.9903810567666,0
7.5,12.9903810567666,0
-7.5,12.9903810567666,0
15,0,0
-15,0,0
0,-17.3205080756888,0
0,17.3205080756888,0
-15,-8.66025403784439,0
15,-8.66025403784439,0
15,8.66025403784439,0
-15,8.66025403784439,0
-17.5,-4.33012701892219,0
-12.5,-12.9903810567666,0
-5,-17.3205080756888,0
5,-17.3205080756888,0
12.5,-12.9903810567666,0
17.5,-4.33012701892219,0
17.5,4.33012701892219,0
12.5,12.9903810567666,0
5,17.3205080756888,0
-5,17.3205080756888,0
-12.5,12.9903810567666,0
-17.5,4.33012701892219,0
-10,-17.3205080756888,0
10,-17.3205080756888,0
20,0,0
10,17.3205080756888,0
-10,17.3205080756888,0
-20,0,0
-17.5,-12.9903810567666,0
-2.5,-21.650635094611,0
2.5,-21.650635094611,0
17.5,-12.9903810567666,0
17.5,12.9903810567666,0
2.5,21.650635094611,0
-2.5,21.650635094611,0
-17.5,12.9903810567666,0
-20,-8.66025403784439,0
20,-8.66025403784439,0
20,8.66025403784439,0
-20,8.66025403784439,0
-7.5,-21.650635094611,0
7.5,-21.650635094611,0
7.5,21.650635094611,0
-7.5,21.650635094611,0
-22.5,-4.33012701892219,0
-15,-17.3205080756888,0
15,-17.3205080756888,0
22.5,-4.33012701892219,0
22.5,4.33012701892219,0
15,17.3205080756888,0
-15,17.3205080756888,0
-22.5,4.33012701892219,0
-12.5,-21.650635094611,0
12.5,-21.650635094611,0
12.5,21.650635094611,0
-12.5,21.650635094611,0
25,0,0
-25,0,0
