x,y,z
3,0,0
-4,0,0
-0.5,-6.06217782649107,0
-0.5,6.06217782649107,0
6.5,-6.06217782649107,0
6.5,6.06217782649107,0
-7.5,-6.06217782649107,0
-7.5,6.06217782649107,0
10,0,0
-11,0,0
3,-12.1243556529821,0
3,12.1243556529821,0
-4,-12.1243556529821,0
-4,12.1243556529821,0
13.5,-6.06217782649107,0
13.5,6.06217782649107,0
-14.5,-6.06217782649107,0
10,-12.1243556529821,0
10,12.1243556529821,0
-14.5,6.06217782649107,0
-11,-12.1243556529821,0
-11,12.1243556529821,0
17,0,0
-18,0,0
-0.5,-18.1865334794732,0
-0.5,18.1865334794732,0
6.5,-18.1865334794732,0
6.5,18.1865334794732,0
-7.5,-18.1865334794732,0
-7.5,18.1865334794732,0
17,-12.1243556529821,0
17,12.1243556529821,0
20.5,-6.06217782649107,0
20.5,6.06217782649107,0
-18,-12.1243556529821,0
-18,12.1243556529821,0
-21.5,-6.06217782649107,0
-21.5,6.06217782649107,0
13.5,-18.1865334794732,0
13.5,18.1865334794732,0
-14.5,-18.1865334794732,0
-14.5,18.1865334794732,0
24,0,0
3,-24.2487113059643,0
3,24.2487113059643,0
-4,-24.2487113059643,0
-4,24.2487113059643,0
-25,0,0
